,Player,Matches,Inns,Not_outs,Runs,Ave,B_Faced,SR,Fours,Sixes
772,Delawar Khan (DEN),9,8,1,47,6.71,40,117.5,0,4
773,Shiraz Khan (KUW),11,8,2,47,7.83,48,97.94,3,2
774,D Weston (GER),6,6,0,47,7.83,54,87.0,5,1
775,SA Ahmad (DEN),5,3,1,46,23.0,54,85.2,2,0
776,K Gupta (Chile),4,4,1,46,15.33,64,71.9,1,0
777,MM Iqbal (SCOT),6,3,0,46,15.33,45,102.25,4,1
778,DO Obuya (KENYA),4,4,0,46,11.5,77,59.75,2,0
779,AU Rashid (ENG),47,16,9,46,6.57,50,92.0,4,0
780,S Ateak (GHA),3,3,0,45,15.0,48,93.75,6,1
781,R Bakum (GHA),4,4,0,45,11.25,45,100.0,4,2
782,Haseeb Amjad (HKG),18,10,6,45,11.25,45,100.0,3,1
783,MG Hunter (GIBR),4,3,0,45,15.0,61,73.75,2,1
784,B Ivanov (BUL),8,4,2,45,22.5,71,63.38,3,1
785,NJ Maddinson (AUS),6,4,0,45,11.25,35,128.6,6,1
786,T Munyonga (ZIM),5,3,2,45,45.0,34,132.4,3,1
787,Murid Ekrami (Belg),7,4,1,45,15.0,51,88.25,2,0
788,Nazril Rahman (MAS),11,6,2,45,11.25,49,91.8,4,0
789,VE Tembo (MOZ),6,5,2,45,15.0,52,86.5,2,0
790,Yasar Haroon (BRA),4,4,0,45,11.25,62,72.56,4,1
791,Zohaib Sarwar (PORT),4,4,1,45,15.0,46,97.8,1,4
792,AJ Ayannaike (NGA),3,3,0,44,14.66,43,102.3,4,2
793,AA Banner (Blz),3,2,0,44,22.0,29,151.8,4,3
794,L Emilio (MOZ),5,4,0,44,11.0,35,125.7,4,1
795,GF Gomes (MOZ),7,6,1,44,8.8,46,95.6,6,1
796,Ismat Ullah (BRA),4,4,0,44,11.0,47,93.6,4,1
797,Saad Nasim (PAK),3,2,0,44,22.0,53,83.0,0,1
798,Abdul Wahid (KSA),8,5,1,43,10.75,45,95.56,5,1
799,S Badree (WI/World),52,16,10,43,7.16,65,66.1,1,1
800,S Badrinath (IND),1,1,0,43,43.0,37,116.2,5,0
801,P Baron (Arg),5,3,0,43,14.33,38,113.1,0,4
802,TS Chisoro (ZIM),14,7,3,43,10.75,47,91.5,2,2
803,SM Curran (ENG),8,5,1,43,10.75,31,138.8,3,3
804,HG Kuhn (SA),4,4,1,43,14.33,36,119.44,3,2
805,S Matsikenyeri (ZIM),2,2,0,43,21.5,37,116.2,2,3
806,A McAuley (IOM),1,1,0,43,43.0,53,81.1,3,0
807,Mustafizur Rahman (BAN),41,15,5,43,4.3,55,78.2,3,3
808,SE Rutherford (WI),6,4,0,43,10.75,36,119.44,1,3
809,Saad Bin Zafar (CAN),11,4,1,43,14.33,33,130.2,3,2
810,M Sohel Patel (PAN),2,2,0,43,21.5,39,110.25,2,3
811,Amjad Ali (UAE),5,5,1,42,10.5,52,80.75,6,0
812,F Baaleri (GHA),4,4,0,42,10.5,60,70.0,6,0
813,Ibrahim Hassan (MDV),14,10,3,42,6.0,68,61.75,0,0
814,Mohamed Mahfooz (MDV),11,5,0,42,8.4,53,79.25,3,0
815,Muaviath Ganee (MDV),5,4,0,42,10.5,44,95.44,3,1
816,LE Plunkett (ENG),21,11,4,42,6.0,34,123.5,3,1
817,AT Rayudu (IND),6,5,1,42,10.5,50,84.0,5,0
818,M Sert (TKY),4,4,1,42,14.0,59,71.2,5,0
819,SSM Stanislaus (MLT),3,2,1,42,42.0,33,127.25,1,2
820,DC Stovell (BER),6,6,1,42,8.4,50,84.0,5,0
821,JK Vifah (GHA),3,3,0,42,14.0,45,93.3,2,1
822,KJ Young (Blz),3,3,2,42,42.0,34,123.5,3,1
823,Abdullah Shafique (PAK),3,3,1,41,20.5,37,110.8,4,1
824,Ainool Hafizs (MAS),3,3,0,41,13.66,39,105.1,3,1
825,Ali Mohammadipour (Iran),3,3,1,41,20.5,44,93.2,6,0
826,S Browne (LUX),4,4,0,41,10.25,49,83.7,4,0
827,K Joshi (Aut),5,3,1,41,20.5,41,100.0,4,2
828,GF Linde (SA),3,2,0,41,20.5,26,157.8,3,2
829,B Mavuta (ZIM),3,3,2,41,41.0,23,178.2,3,2
830,K Pala (PNG),2,2,1,41,41.0,30,136.6,4,2
831,D Sheeli (KUW),5,5,0,41,8.2,43,95.3,5,0
832,JH Stander (SCOT),5,5,1,41,10.25,36,113.9,2,1
833,Amir Hamza (AFG),31,9,5,40,10.0,38,105.25,3,1
834,BCJ Cutting (AUS/World),7,5,1,40,10.0,27,148.1,2,3
835,Imran Bulbulia (PAN),3,3,0,40,13.33,42,95.25,4,1
836,LA Musiani (Arg),5,5,1,40,10.0,60,66.7,4,0
837,E Packard (GIBR),4,4,0,40,10.0,49,81.6,2,1
838,S Rakshit (CZK-R),6,5,1,40,10.0,44,90.9,5,1
839,S Ravikumar (CRC),3,3,1,40,20.0,44,90.9,3,1
840,Sahibzada Farhan (PAK),3,3,0,40,13.33,46,86.94,2,3
841,F Stoman (PORT),4,4,1,40,13.33,61,65.56,1,1
842,Talha Khan (GER),1,1,1,40,0.0,0,0.0,4,0
843,Tariq Aziz (PORT),4,4,1,40,13.33,47,85.1,1,2
844,KDK Vithanage (SL),3,3,0,40,13.33,34,117.6,7,0
845,Washington Sundar (IND),26,9,3,40,6.66,27,148.1,3,3
846,Imran Khan (PORT),4,3,1,39,19.5,32,121.9,2,3
847,H Ivanov (BUL),8,4,0,39,9.75,39,100.0,2,1
848,Khalid Ahmadi (Belg),4,3,2,39,39.0,14,278.5,4,3
849,Munir Dar (HKG),2,2,0,39,19.5,33,118.2,3,1
850,IK Pathan (IND),8,2,0,39,19.5,38,102.6,3,1
851,Rafatullah Mohmand (PAK),3,3,0,39,13.0,45,86.7,4,0
852,P Silas (BOT),4,3,0,39,13.0,44,88.6,1,1
853,S Tobgay (BHU),2,2,0,39,19.5,58,67.25,1,0
854,PA van Meekeren (NED),41,9,1,39,4.87,40,97.5,0,3
855,RI Ahmed (NED),2,2,0,38,19.0,50,76.0,2,0
856,Ameer Saiyed (BOT),4,3,0,38,12.66,47,80.9,4,0
857,R Flannigan (SCOT),4,4,1,38,12.66,33,115.1,4,0
858,Imran Haider (ROM),3,3,0,38,12.66,40,95.0,4,1
859,TS Kamunhukamwe (ZIM),2,2,0,38,19.0,30,126.7,6,1
860,D Kansonkho (MWI),7,4,0,38,9.5,47,80.9,5,0
861,AK Kitchen (NZ),5,4,1,38,12.66,32,118.75,3,1
862,LC Le Tissier (GUE),10,8,2,38,0.0,0,0.0,3,0
863,BF Mailata (Samoa),4,4,0,38,9.5,48,79.2,2,1
864,Mohammed Sameer (BHR),2,2,0,38,19.0,29,131.0,6,1
865,F Mutizwa (ZIM),3,3,0,38,12.66,36,105.56,3,0
866,H Pragji (BOT),4,4,1,38,12.66,65,58.47,1,0
867,U Aryaman Sunil (SGP),5,4,0,37,9.25,24,154.1,2,2
868,Basil Hameed (UAE),4,3,0,37,12.33,33,112.1,2,1
869,VD Chandra (PAN),3,2,0,37,18.5,30,123.3,3,3
870,I Danladi (NGA),3,2,0,37,18.5,38,97.4,4,1
871,CJ Delany (GIBR),4,4,0,37,9.25,60,61.66,2,0
872,RM Hira (NZ),15,3,1,37,18.5,33,112.1,4,1
873,J Hirschi (MLT),4,4,0,37,9.25,62,59.66,0,0
874,AF Ifill (CAY),6,6,1,37,0.0,0,0.0,2,1
875,R Kumar (ROM),4,3,1,37,18.5,27,137.0,6,0
876,S Kushretha (LUX),4,3,0,37,12.33,39,94.9,2,0
877,D Manani (ROM),2,2,1,37,37.0,32,115.6,4,1
878,K Rabada (SA),26,7,3,37,9.25,39,94.9,3,2
879,S Sola (Samoa),4,3,0,37,12.33,36,102.75,1,3
880,CA Soper (PNG),13,6,4,37,18.5,41,90.25,0,3
881,HA Varaiya (KENYA),15,8,7,37,37.0,59,62.72,1,0
882,BM Wheeler (NZ),6,4,2,37,18.5,28,132.1,3,2
883,Ahsan Ali (PAK),2,2,0,36,18.0,39,92.3,4,0
884,RJ Campbell (HKG),3,3,0,36,12.0,47,76.56,6,0
885,J Dunn (VAN),4,3,0,36,12.0,41,87.8,0,1
886,V Ganesan (GER),6,5,0,36,7.2,47,76.56,0,0
887,J Jojo (DEN),7,5,3,36,18.0,27,133.4,1,1
888,TE Kane (IRE),7,3,1,36,18.0,23,156.5,5,0
889,WP Masakadza (ZIM),13,7,3,36,9.0,38,94.75,4,0
890,Mohammed Qasim (UAE),3,3,1,36,18.0,51,70.56,2,0
891,Mohsin Hub (Peru),4,4,1,36,12.0,41,87.8,2,0
892,PA Patel (IND),2,2,0,36,18.0,32,112.5,4,1
893,RJ Trott (BER),12,7,3,36,9.0,60,60.0,3,0
894,C Zhuwao (ZIM),4,4,0,36,9.0,41,87.8,5,1
895,Abdul Shakoor (UAE),6,4,2,35,17.5,40,87.5,3,0
896,MP Biddappa (PHI),4,2,1,35,35.0,47,74.44,1,1
897,STR Binny (IND),3,2,0,35,17.5,29,120.7,2,1
898,CD de Lange (SCOT),8,3,0,35,11.66,22,159.1,2,2
899,L Gregory (ENG),8,6,1,35,7.0,30,116.7,2,2
900,L Hermida (Mex),5,5,2,35,11.66,50,70.0,1,0
901,Imran Anwar (BHR),8,5,2,35,11.66,44,79.56,2,0
902,Imran Farhat (PAK),2,2,0,35,17.5,25,140.0,7,0
903,JN Malan (SA),2,2,0,35,17.5,37,94.56,3,2
904,VV Morea (PNG),5,5,0,35,7.0,44,79.56,4,0
905,D Murphy (SCOT),4,4,3,35,35.0,35,100.0,1,0
906,Nazakat Ali (NOR),2,2,0,35,17.5,31,112.9,1,3
907,Robert Raina (THA),4,4,0,35,8.75,68,51.47,3,1
908,Shuvagata Hom (BAN),5,4,2,35,17.5,35,100.0,3,1
909,DK Anefie (GHA),4,4,2,34,17.0,38,89.5,2,0
910,Arafat Sunny (BAN),10,6,3,34,11.33,30,113.3,3,1
911,Hammad Azam (PAK),5,4,1,34,11.33,34,100.0,3,1
912,Nadeem Ahmed (HKG),24,9,4,34,6.8,55,61.8,2,0
913,Saqib Zulfiqar (NED),6,4,0,34,8.5,43,79.06,1,0
914,A Sharafu (UAE),5,4,1,34,11.33,33,103.0,0,3
915,JTS Sumerauer (JER),8,6,1,34,6.8,39,87.2,3,0
916,W Viraliliu (VAN),10,7,3,34,8.5,26,130.8,3,2
917,SM Davies (ENG),2,2,0,33,16.5,28,117.9,3,0
918,PSP Handscomb (AUS),2,2,1,33,33.0,33,100.0,1,0
919,MG Johnson (AUS),6,4,3,33,33.0,33,100.0,1,1
920,FJ Klaassen (NED),21,7,1,33,5.5,34,97.06,2,0
921,K Nestor (GIBR),4,4,1,33,11.0,35,94.25,1,2
922,I Pandey (NEP),4,4,0,33,8.25,50,66.0,5,0
923,Simandeep Singh (HKG),7,7,2,33,6.6,32,103.1,2,0
924,Waseem Abbas (MLT),5,3,2,33,33.0,12,275.0,0,4
925,AA Westphal (Mex),5,5,0,33,6.6,40,82.5,3,0
926,KS Bagabena (GHA),4,3,2,32,32.0,32,100.0,1,0
927,TG Gordon (CAN),3,3,0,32,10.66,37,86.5,3,0
928,LHB Harrington-Myers (CAY),4,4,1,32,10.66,39,82.06,1,1
929,Khizer Ahmed (NOR),5,4,2,32,16.0,47,68.06,1,0
930,CB Mpofu (ZIM),24,10,6,32,8.0,41,78.06,3,1
931,KRP Silva (USA),2,2,0,32,16.0,12,266.8,2,3
932,J Theron (SA),5,3,3,32,0.0,0,0.0,3,1
933,JC Tredwell (ENG),17,6,3,32,10.66,20,160.0,4,1
934,PVD Chameera (SL),19,10,6,31,7.75,40,77.5,3,0
935,P Chandran (Mex),3,3,0,31,10.33,47,65.94,2,1
936,R Dravid (IND),1,1,0,31,31.0,21,147.6,0,3
937,JW Hastings (AUS),8,5,2,31,10.33,29,106.9,1,1
938,Jasdeep Singh (USA),4,2,0,31,15.5,25,124.0,0,3
939,AS Mehmi (GRC),3,2,1,31,31.0,29,106.9,2,1
940,Naeem Islam (BAN),3,3,0,31,10.33,27,114.8,4,1
941,VS Padhaal (FIN),5,5,0,31,6.2,44,70.44,4,0
942,YK Pathan (IND),4,3,1,31,15.5,26,119.25,1,2
943,ACF Stokes (GUE),8,5,0,31,6.2,26,119.25,6,0
944,Tafseer Ali (NOR),5,4,1,31,10.33,53,58.5,1,0
945,PJ van Biljon (SA),5,4,2,31,15.5,28,110.7,3,0
946,Zubaidi Zulkifle (MAS),4,4,0,31,7.75,29,106.9,2,2
947,Abdur Razzak (BAN),21,11,5,30,0.0,0,0.0,1,0
948,D Cato (CAY),3,3,0,30,10.0,59,50.84,2,0
949,Imran Butt (BHR),4,3,0,30,10.0,25,120.0,3,1
950,Navid Balouch (Iran),3,3,1,30,15.0,50,60.0,1,0
951,DLS van Bunge (NED),4,3,2,30,30.0,28,107.1,1,2
952,Abdullah Akbarjan (Aut),5,1,0,29,29.0,17,170.6,3,1
953,B Masaba (UGA),2,1,0,29,29.0,25,116.0,3,1
954,BJ McCarthy (IRE),10,6,2,29,7.25,23,126.06,0,2
955,Mien Mehmood (PORT),4,4,0,29,7.25,41,70.75,1,1
956,SH Obed (VAN),12,7,2,29,0.0,0,0.0,1,0
957,C Pengkumta (THA),5,4,2,29,14.5,41,70.75,2,0
958,S Rossi (Arg),5,4,1,29,9.66,27,107.4,2,1
959,J Salazar (Peru),2,2,1,29,29.0,36,80.56,0,0
960,Taskin Ahmed (BAN),19,6,3,29,9.66,31,93.56,3,1
961,VP Thamotharam (MLT),2,2,1,29,29.0,18,161.1,4,1
962,Ahsan Malik (NED),31,8,5,28,9.33,30,93.3,1,1
963,KK Ahuja (Mex),8,7,0,28,0.0,0,0.0,1,1
964,Amjad Khan (UAE),4,3,0,28,9.33,30,93.3,3,1
965,Iqbal Hussain (QAT),22,8,3,28,5.6,34,82.4,3,0
966,NG Jones (IRE),4,3,2,28,28.0,24,116.7,0,2
967,EJB Miles (JER),14,4,2,28,14.0,31,90.3,1,0
968,H Osinde (CAN),5,4,1,28,9.33,26,107.7,1,2
969,CW Perchard (JER),15,5,2,28,9.33,35,80.0,0,0
970,R Pillai (GER),6,5,1,28,7.0,44,63.62,1,0
971,Sharafuddin Ashraf (AFG),8,4,1,28,9.33,29,96.56,1,1
972,Vinod Kumar (ESP),4,4,1,28,9.33,34,82.4,3,0
973,Yasir Arafat (PAK),6,4,0,28,7.0,38,73.7,1,1
974,Abdul Shakoor (ROM),4,3,1,27,13.5,35,77.1,1,0
975,Ahmed Wardak (GER),10,4,2,27,13.5,38,71.06,1,0
976,TP Allen (USA),5,3,1,27,13.5,17,158.9,0,3
977,G Bakiweyem (GHA),3,2,1,27,27.0,30,90.0,0,0
978,TC Barker (LUX),4,4,0,27,6.75,33,81.8,1,0
979,NE Bonner (WI),2,2,0,27,13.5,38,71.06,2,0
980,RM Dorji (BHU),1,1,0,27,27.0,23,117.4,0,4
981,H Fennell (Arg),5,5,2,27,9.0,23,117.4,4,1
982,S Hongsi (THA),3,3,3,27,0.0,0,0.0,3,1
983,Muhammad Younis (BHR),3,3,0,27,9.0,21,128.6,5,0
984,SNJ O'Keefe (AUS),6,4,0,27,6.75,18,150.0,3,1
985,SS Pathirana (SL),5,5,0,27,5.4,24,112.5,3,0
986,Shoaib Qureshi (FIN),5,4,0,27,6.75,34,79.44,2,0
987,Waqas Ali (Belg),2,2,0,27,13.5,31,87.06,0,2
988,Zulfiqar Babar (PAK),7,3,3,27,0.0,0,0.0,2,1
989,A Ahmadhel (BUL),6,4,1,26,8.66,31,83.9,2,0
990,SE Aquilina (MLT),7,5,0,26,5.2,37,70.25,2,0
991,Arsalan Arif (Aut),1,1,1,26,0.0,0,0.0,5,0
992,TB de Bruyn (SA),2,2,0,26,13.0,16,162.5,3,1
993,R Goodwin (PHI),4,4,1,26,8.66,36,72.25,1,0
994,Izatullah Dawlatzai (AFG/GER),16,4,3,26,26.0,16,162.5,2,2
995,G Kansonkho (MWI),6,3,1,26,13.0,21,123.8,4,0
996,CT Mumba (ZIM),2,2,1,26,26.0,17,153.0,3,1
997,GBW Munaweera (QAT),12,4,2,26,0.0,0,0.0,2,0
998,TJ Murtagh (IRE),14,5,3,26,13.0,25,104.0,0,1
999,S Nadigotla (ROM),3,3,0,26,8.66,29,89.6,1,0
1000,LN Oluoch (KENYA),10,6,3,26,8.66,33,78.75,2,0
1001,E Otieno (KENYA),18,8,3,26,0.0,0,0.0,0,1
1002,TK Saha (FIN),4,4,3,26,26.0,23,113.06,1,0
1003,Shapoor Zadran (AFG),28,10,4,26,4.33,57,45.62,0,3
1004,C Wright (CAY),6,5,2,26,8.66,31,83.9,2,0
1005,P Agnihotri (NOR),2,2,0,25,12.5,36,69.44,2,0
1006,Asrar Ahmed (GRC),3,1,0,25,25.0,27,92.56,2,0
1007,RA Bhatti (CAN),4,4,1,25,8.33,37,67.56,1,0
1008,AM Ellis (NZ),5,5,2,25,8.33,21,119.06,1,1
1009,T Jamtsho (BHU),2,2,1,25,25.0,27,92.56,1,1
1010,Junaid Siddique (BAN),2,2,0,25,12.5,24,104.2,3,1
1011,JH Kiani (PHI),4,3,1,25,12.5,36,69.44,2,0
1012,KR Mayers (WI),2,2,1,25,25.0,18,138.9,1,2
1013,G Murali (CRC),3,3,0,25,8.33,44,56.8,1,0
1014,PM Nevill (AUS),9,5,4,25,25.0,11,227.2,1,2
1015,SA Okpe (NGA),8,6,1,25,5.0,46,54.34,1,0
1016,Raza-ur-Rehman (CAN),5,4,0,25,6.25,29,86.2,3,0
1017,A Srivastav (Chile),4,4,0,25,6.25,37,67.56,2,0
1018,Tahir Dar (BHR),4,2,0,25,12.5,25,100.0,1,2
1019,Adil Hanif (BHR),4,2,0,24,12.0,23,104.3,3,0
1020,Azyan Farhath (MDV),2,2,1,24,24.0,22,109.06,2,0
1021,MO Bacarese (GIBR),3,2,0,24,12.0,37,64.9,0,1
1022,JW Dernbach (ENG),34,7,2,24,4.8,21,114.25,3,0
1023,Fareed Ahmad (AFG),14,1,1,24,0.0,0,0.0,4,0
1024,Harbhajan Singh (IND),6,4,3,24,24.0,12,200.0,2,1
1025,Jagjit Singh (Peru),4,4,0,24,6.0,30,80.0,1,0
1026,Kaleemullah (OMA),8,3,0,24,8.0,14,171.4,0,3
1027,S Lamichhane (ICC/NEP),21,10,4,24,0.0,0,0.0,1,0
1028,MJ McClenaghan (ICC/NZ),29,8,4,24,6.0,23,104.3,1,2
1029,Rameez Raja (2) (PAK),2,2,0,24,12.0,29,82.75,2,0
1030,B Regmi (NEP),18,11,4,24,3.42,56,42.84,2,0
1031,GC Smith (SA),2,2,0,24,12.0,28,85.7,1,1
1032,MA Starc (AUS),35,10,5,24,4.8,26,92.3,0,1
1033,KJ Abbott (SA),21,6,4,23,11.5,20,115.0,2,0
1034,Bilawal Bhatti (PAK),9,4,2,23,11.5,14,164.2,2,1
1035,DL Brangman (BER),5,4,2,23,11.5,25,92.0,2,1
1036,DT Christian (AUS),13,6,2,23,0.0,0,0.0,1,0
1037,M Cope (LUX),6,5,3,23,11.5,33,69.7,3,0
1038,C Floyd (NED),2,2,1,23,23.0,23,100.0,2,1
1039,Hardev Singh (Chile),3,3,0,23,7.66,48,47.9,1,0
1040,Ibrahim Rizan (MDV),8,6,3,23,7.66,33,69.7,2,0
1041,RK Inampud (Mex),3,3,2,23,23.0,28,82.1,0,1
1042,B Kumar (IND),43,9,5,23,0.0,0,0.0,0,0
1043,JB Little (IRE),17,8,3,23,0.0,0,0.0,3,0
1044,N Master (BOT),2,2,0,23,11.5,18,127.75,4,0
1045,T Panyangara (ZIM),14,5,4,23,23.0,17,135.2,1,2
1046,VM Sachdev (PAN),2,2,1,23,23.0,31,74.2,2,0
1047,S Sohal (USA),3,2,0,23,11.5,29,79.3,1,1
1048,A Zampa (AUS),36,6,4,23,0.0,0,0.0,2,0
1049,Aminul Islam (BAN),7,4,3,22,0.0,0,0.0,4,0
1050,DNA Ankrah (GHA),4,3,0,22,7.33,43,51.16,2,0
1051,OO Bascome (BER),2,2,0,22,11.0,23,95.6,3,0
1052,TA Boult (NZ),29,8,3,22,0.0,0,0.0,1,0
1053,PD Collingwood (ENG/World),3,2,0,22,11.0,30,73.3,2,0
1054,PC de Silva (SL),2,2,0,22,11.0,22,100.0,1,0
1055,Farhad Reza (BAN),6,4,0,22,0.0,0,0.0,1,0
1056,DR Flynn (NZ),1,1,0,22,22.0,19,115.75,0,2
1057,RK Kleinveldt (SA),4,2,1,22,22.0,7,0.0,1,3
1058,AK Muslar (Blz),3,3,0,22,7.33,27,81.5,1,2
1059,D Nikolov (BUL),7,4,1,22,7.33,47,46.8,2,0
1060,Umair Ali (UAE),3,3,2,22,22.0,18,122.25,2,1
1061,Anas Khan (HKG),1,1,1,21,0.0,0,0.0,2,0
1062,BB Chari (ZIM),3,3,0,21,7.0,31,67.75,4,0
1063,G Goudie (SCOT),8,5,2,21,7.0,17,123.5,1,1
1064,Imam-ul-Haq (PAK),2,2,0,21,10.5,25,84.0,2,0
1065,Kamran Shazad (UAE),3,2,0,21,10.5,17,123.5,1,2
1066,Karweng NG (PHI),4,3,0,21,7.0,30,70.0,0,1
1067,LD Madushanka (SL),2,2,0,21,10.5,26,80.75,1,0
1068,C Mahoney (Peru),3,1,0,21,21.0,27,77.75,1,0
1069,S Murari (CRC),3,3,1,21,10.5,20,105.0,2,0
1070,Rony Talukdar (BAN),1,1,0,21,21.0,22,95.44,0,1
1071,SF Tiai (Samoa),4,3,0,21,7.0,22,95.44,2,0
1072,E Ul Haq (NOR),5,5,0,21,4.2,36,58.34,2,0
1073,CA Young (IRE),32,9,6,21,0.0,0,0.0,2,0
1074,Ainool Haqqiem (MAS),4,2,1,20,20.0,20,100.0,1,0
1075,Amar Sharma (MLT),3,1,0,20,20.0,16,125.0,1,1
1076,KK Flowers (Blz),3,3,1,20,10.0,33,60.6,3,0
1077,Z Groenewald (NAM),10,4,1,20,6.66,35,57.12,0,0
1078,R Heyns (LUX),2,1,0,20,20.0,16,125.0,3,1
1079,Kuldeep Yadav (IND),21,2,1,20,20.0,20,100.0,2,0
1080,Mahedi Hasan (BAN),4,2,0,20,10.0,23,86.94,1,1
1081,Mohammad Amir (PAK),32,8,4,20,5.0,36,55.56,1,1
1082,M Morkel (SA/World),27,6,4,20,10.0,13,153.9,3,1
1083,Naiem Bameri (Iran),3,3,0,20,6.66,57,35.1,0,0
1084,N Pokana (PNG),19,7,5,20,10.0,28,71.44,0,0
1085,PADLR Sandakan (SL),17,6,3,20,6.66,27,74.06,2,0
1086,JRMVB Sanjaya (SL),8,5,2,20,0.0,0,0.0,3,0
1087,JOP Scamans (FIN),2,2,1,20,20.0,19,105.25,1,0
1088,A Uniyal (Chile),3,3,1,20,10.0,23,86.94,2,0
1089,C Waiswa (UGA),7,2,1,20,20.0,14,142.9,1,1
1090,V Aravind (UAE),5,2,0,19,9.5,27,70.4,2,0
1091,Aziz Mohammad (Belg),3,3,1,19,9.5,25,76.0,0,2
1092,Bilal Ahmed (SRB),1,1,0,19,19.0,28,67.9,1,1
1093,Bilal Khan (OMA),35,11,8,19,6.33,30,63.34,1,0
1094,CJ Dala (SA),9,4,3,19,19.0,28,67.9,1,0
1095,P Danci (ROM),4,3,1,19,9.5,26,73.06,3,0
1096,Fahad Tariq (UAE),6,5,1,19,4.75,24,79.2,1,1
1097,P Florin (ROM),8,4,1,19,6.33,22,86.4,2,0
1098,Imran Tahir (SA/World),38,4,3,19,19.0,18,105.56,1,1
1099,Irfan Mir (Chile),4,3,2,19,19.0,7,0.0,0,2
1100,Jaspreet Singh (ITA),5,2,0,19,9.5,23,82.6,1,0
1101,Junaid Sheikh (NOR),5,3,0,19,0.0,0,0.0,1,1
1102,Mohammad Ahsan (KUW),6,3,0,19,0.0,0,0.0,0,1
1103,Muktar Ali (BAN),1,1,1,19,0.0,0,0.0,1,1
1104,SN Netravalkar (USA),8,2,1,19,19.0,15,126.7,1,1
1105,HM Nicholls (NZ),5,4,0,19,0.0,0,0.0,2,0
1106,F Nsubuga (UGA),6,4,1,19,0.0,0,0.0,0,2
1107,AE Paraam (SGP),3,2,1,19,19.0,10,190.0,2,1
1108,AM Phangiso (SA),16,3,0,19,6.33,29,65.5,1,0
1109,RLB Rambukwella (SL),2,1,0,19,19.0,16,118.75,1,1
1110,Sayed Monib (KUW),5,2,0,19,9.5,10,190.0,1,2
1111,L Shafeeg (MDV),6,3,1,19,9.5,17,111.75,2,1
1112,Sufyan Mehmood (OMA),4,2,1,19,19.0,41,46.34,2,0
1113,ML Udawatte (SL),3,3,0,19,6.33,23,82.6,2,0
1114,KOK Williams (WI),26,7,4,19,6.33,17,111.75,1,1
1115,N Yordanov (BUL),2,2,1,19,19.0,11,172.8,0,2
1116,JD Baker (Samoa),4,3,3,18,0.0,0,0.0,3,0
1117,V Baskaran (SGP),13,5,3,18,9.0,23,78.25,0,0
1118,LA Collado (GIBR),4,3,2,18,0.0,0,0.0,0,0
1119,XJ Doherty (AUS),11,4,3,18,18.0,17,105.9,1,0
1120,BE Hendricks (SA),14,4,1,18,6.0,22,81.8,0,1
1121,AK Markram (SA),2,2,0,18,9.0,17,105.9,1,1
1122,AF Milne (NZ),19,7,7,18,0.0,0,0.0,1,0
1123,Nauman Anwar (PAK),1,1,0,18,18.0,10,180.0,2,1
1124,Nazmul Islam (BAN),13,4,3,18,0.0,0,0.0,2,0
1125,GH O'Brien (BER),8,3,1,18,0.0,0,0.0,1,1
1126,P Suanchuai (THA),4,4,1,18,6.0,36,50.0,0,1
1127,Raza Hasan (PAK),10,4,4,18,0.0,0,0.0,2,0
1128,S Snater (NED),13,6,1,18,3.6,16,112.5,0,1
1129,DL Vettori (NZ),6,2,0,18,9.0,19,94.75,1,0
1130,HN Ya France (NAM),6,3,0,18,6.0,20,90.0,1,1
1131,SA Abbott (AUS),7,2,1,17,17.0,16,106.25,1,1
1132,Awais Malik (QAT),18,7,0,17,0.0,0,0.0,1,0
1133,TL Best (WI),6,1,1,17,0.0,0,0.0,0,2
1134,TR Birt (AUS),1,1,0,17,17.0,21,80.94,1,1
1135,D Bishoo (WI),7,4,2,17,0.0,0,0.0,2,0
1136,TA Blundell (NZ),3,2,1,17,17.0,21,80.94,0,0
1137,A Bohara (NEP),20,7,3,17,4.25,19,89.5,1,1
1138,SS Cottrell (WI),30,9,5,17,4.25,28,60.72,2,0
1139,LA Dawson (ENG),6,2,1,17,17.0,8,0.0,2,1
1140,RR Emrit (WI),4,3,0,17,5.66,27,62.97,0,1
1141,D Gim (NGA),6,4,2,17,8.5,32,53.12,0,0
1142,Hamid Hassan (AFG),14,4,4,17,0.0,0,0.0,1,0
1143,Khurram Shahzad (QAT),7,5,1,17,4.25,29,58.62,2,0
1144,S Kizilkaya (TKY),4,4,0,17,0.0,0,0.0,3,0
1145,L Louwrens (NAM),1,1,1,17,0.0,0,0.0,1,1
1146,SW Masakadza (ZIM),5,3,1,17,0.0,0,0.0,1,0
1147,JH Mensah (GHA),2,2,0,17,8.5,10,170.0,1,1
1148,TK Patel (USA),7,3,3,17,0.0,0,0.0,1,0
1149,K Pierre (WI),10,5,3,17,8.5,23,73.94,2,0
1150,GR Russ (PHI),3,2,1,17,17.0,29,58.62,0,0
1151,Shafraz Jaleel (MDV),4,3,0,17,5.66,14,121.44,1,1
1152,JR Singleton (BRA),3,3,0,17,0.0,0,0.0,3,0
1153,T Singye (BHU),2,2,0,17,8.5,25,68.0,2,0
1154,Usman Ali (KSA),8,3,1,17,0.0,0,0.0,1,0
1155,OR Willis (CAY),3,3,0,17,5.66,32,53.12,0,1
1156,Zain ul Tashnam (CRC),3,2,1,17,17.0,26,65.4,1,0
